Date,Open,High,Low,Close,Adj Close,Volume
2023-07-14,4.300000,4.315000,4.010000,4.030000,4.030000,3675800
2023-07-17,4.030000,4.695000,4.010000,4.370000,4.370000,6855900
2023-07-18,4.410000,4.630000,4.330000,4.460000,4.460000,4342400
2023-07-19,4.515000,4.670000,4.360000,4.390000,4.390000,2723300
2023-07-20,4.310000,4.335000,4.200000,4.230000,4.230000,2272400
2023-07-21,4.280000,4.320000,4.150000,4.200000,4.200000,1819100
2023-07-24,4.180000,4.350000,4.140000,4.150000,4.150000,1892200
2023-07-25,4.150000,4.200000,4.010000,4.020000,4.020000,2286500
2023-07-26,4.050000,4.235000,4.010000,4.160000,4.160000,3011800
2023-07-27,4.220000,4.320000,4.032000,4.070000,4.070000,2643100
2023-07-28,4.090000,4.230000,4.055000,4.220000,4.220000,2540300
2023-07-31,4.250000,4.380000,4.210000,4.370000,4.370000,3310300
2023-08-01,4.315000,4.550000,4.290000,4.360000,4.360000,3733300
2023-08-02,4.280000,4.310000,4.130000,4.240000,4.240000,4100200
2023-08-03,4.870000,5.950000,4.770000,5.160000,5.160000,26923400
2023-08-04,5.220000,5.710000,5.180000,5.240000,5.240000,8914700
2023-08-07,5.400000,5.430000,4.620000,4.800000,4.800000,6023100
2023-08-08,4.670000,5.015000,4.620000,4.940000,4.940000,3792800
2023-08-09,4.940000,4.943000,4.690000,4.750000,4.750000,2614800
2023-08-10,4.810000,4.815000,4.650000,4.730000,4.730000,3017200
2023-08-11,4.630000,4.660000,4.450000,4.490000,4.490000,2917800
2023-08-14,4.440000,4.460000,4.310000,4.400000,4.400000,2378000
2023-08-15,4.320000,4.440000,4.240000,4.270000,4.270000,2335500
2023-08-16,4.270000,4.345000,4.120000,4.150000,4.150000,2396200
2023-08-17,4.160000,4.275000,4.100000,4.180000,4.180000,2459200
2023-08-18,4.130000,4.275000,4.081000,4.180000,4.180000,2078400
2023-08-21,4.200000,4.370000,4.140000,4.160000,4.160000,2480600
2023-08-22,4.200000,4.271000,4.000000,4.100000,4.100000,2446600
2023-08-23,4.060000,4.170000,3.950000,3.970000,3.970000,2690300
2023-08-24,3.970000,3.970000,3.730000,3.760000,3.760000,3357200
2023-08-25,3.780000,3.920000,3.720000,3.860000,3.860000,2430000
2023-08-28,3.880000,3.995000,3.853000,3.980000,3.980000,1669500
2023-08-29,3.980000,4.168000,3.870000,4.150000,4.150000,2062200
2023-08-30,4.100000,4.140000,3.970000,4.030000,4.030000,1997500
2023-08-31,4.130000,4.210000,3.970000,4.020000,4.020000,2903500
2023-09-01,4.040000,4.150000,4.020000,4.070000,4.070000,1701700
2023-09-05,4.020000,4.235000,4.010000,4.160000,4.160000,2546800
2023-09-06,4.150000,4.165000,3.830000,3.870000,3.870000,4145600
2023-09-07,3.800000,3.800000,3.470000,3.745000,3.745000,4735600
2023-09-08,3.750000,3.760000,3.610000,3.620000,3.620000,2193200
2023-09-11,3.690000,3.780000,3.570000,3.750000,3.750000,2618500
2023-09-12,3.730000,3.970000,3.700000,3.960000,3.960000,2219800
2023-09-13,3.950000,4.050000,3.840000,3.850000,3.850000,2505600
2023-09-14,3.870000,4.070000,3.870000,4.040000,4.040000,2115100
2023-09-15,4.020000,4.035000,3.880000,3.940000,3.940000,5962100
2023-09-18,3.910000,3.910000,3.705000,3.730000,3.730000,2446300
2023-09-19,3.750000,3.880000,3.700000,3.860000,3.860000,2063100
2023-09-20,3.870000,3.970000,3.783000,3.800000,3.800000,1440700
2023-09-21,3.720000,3.745000,3.610000,3.650000,3.650000,1897800
2023-09-22,3.650000,3.735000,3.550000,3.590000,3.590000,1913100
2023-09-25,3.560000,3.640000,3.500000,3.520000,3.520000,1736100
2023-09-26,3.520000,3.520000,3.320000,3.320000,3.320000,2924800
2023-09-27,3.360000,3.380100,3.150000,3.250000,3.250000,3698642
